cites,authors,title,year,source,publisher,article_url,cites_url,gs_rank,query_date,type,doi,ecc,cites_per_year,cites_per_author,author_count,age,abstract,full_text_url,related_url,source_file,tool_name,study_id,double_code,topic_cat,tool_use_type,publisher_type,publisher_description
1,L Caulkins,Funding and Facilitating Public Participation at FERC,2021,Envtl. L. Rep.,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/elrna51&section=80,https://scholar.google.com/scholar?cites=6213693471086910327&as_sdt=2005&sciodt=2007&hl=en,254,2025-09-15,NA,NA,1,0.25,1,1,4,"… Finally, participants suggested that the OPP use environmental justice mapping tools, like the US Environmental Protection Agency's EJSCREEN,1""9 to target outreach and assistance …",NA,https://scholar.google.com/scholar?q=related:d5tMV0p5O1YJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Health & well-being,Mentioned/Context,Legal / policy databases,HeinOnline is a subscription-based online legal research database specializing in law journals and government documents
1,"L Grier, D Mayor, B Zeuner, P Mohai",Community Input on Staff Environmental Justice Screening Tools,2022,Env't L. Rep.,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/elrna52&section=59,https://scholar.google.com/scholar?cites=7535030674895452424&as_sdt=2005&sciodt=2007&hl=en,7,2025-09-15,NA,NA,1,0.33,0,4,3,"… Agency (EPA) maintains EJSCREEN, a publicly available … block group level., EJSCREEN displays six demographic data … that our interviewees raised to using EPA's EJSCREEN tool. …",https://www.eli.org/sites/default/files/files-pdf/52.10441.pdf,https://scholar.google.com/scholar?q=related:CLnQ_HnOkWgJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Health & well-being,Mentioned/Context,Legal / policy databases,HeinOnline is a subscription-based online legal research database specializing in law journals and government documents
18,"L Hu, J Ji, Y Li, B Liu, Y Zhang",Quantile regression forests to identify determinants of neighborhood stroke prevalence in 500 cities in the USA: implications for neighborhoods with high prevalence,2021,Journal of Urban Health,Springer,https://link.springer.com/article/10.1007/s11524-020-00478-y,https://scholar.google.com/scholar?cites=15847361929272852185&as_sdt=2005&sciodt=2007&hl=en,326,2025-09-15,NA,10.1007/s11524-020-00478-y,18,4.5,4,5,4,"Stroke exerts a massive burden on the US health and economy. Place-based evidence is increasingly recognized as a critical part of stroke management, but identifying the key …",https://pmc.ncbi.nlm.nih.gov/articles/PMC8079571/pdf/11524_2020_Article_478.pdf,https://scholar.google.com/scholar?q=related:2X5bNbYj7dsJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Equity and justice,Mentioned/Context,Commercial academic publishers,Springer Nature is a global for-profit academic publisher. Part of Springer Nature; commercial scholarly publisher.
16,"L Keith, S Meerow, P Berke, J DeAngelis, L Jensen, ...",Plan Integration for Resilience Scorecard™(PIRS™) for Heat: Spatially evaluating networks of plans to mitigate heat (Version 1.0),2022,NA,repository.arizona.edu,https://repository.arizona.edu/handle/10150/666313,https://scholar.google.com/scholar?cites=17682632922770188083&as_sdt=2005&sciodt=2007&hl=en,177,2025-09-15,NA,NA,16,5.33,3,6,3,The combination of climate change and the urban heat island (UHI) effect is increasing the number of dangerously hot days and the need for all communities to plan for urban heat …,https://repository.arizona.edu/bitstream/handle/10150/666313/PIRS_for_Heat_Guidebook.pdf?sequence=1,https://scholar.google.com/scholar?q=related:MydY5_RUZfUJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Climate hazards & risks,Mentioned/Context,University / institutional repositories,"UA institutional repository for theses, articles, datasets."
0,L Muldrow,A Landscape of Decency,2022,NA,udspace.udel.edu,https://udspace.udel.edu/bitstream/19716/31117/1/muldrowleigh_LATE_5688806_110025818_LARC456-Capstone-Muldrow-1.pdf,NA,270,2025-09-15,PDF,NA,0,0,0,1,3,"In a capitalist, market driven economy and society, knowledge is of utmost importance with respect to competitiveness and success (Kauppinen, 2014). What we know, who knows it, …",https://udspace.udel.edu/bitstream/19716/31117/1/muldrowleigh_LATE_5688806_110025818_LARC456-Capstone-Muldrow-1.pdf,https://scholar.google.com/scholar?q=related:Y3s8iWtjXwkJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Governance, policy & institutional frameworks",Mentioned/Context,University / institutional repositories,University of Delaware DSpace institutional repository.
1,"L Niu, L Hu, Y Li, B Liu",Correlates of cancer prevalence across census tracts in the United States: A Bayesian machine learning approach,2022,Spatial and Spatio-temporal Epidemiology,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877584522000454,https://scholar.google.com/scholar?cites=1490738920004241121&as_sdt=2005&sciodt=2007&hl=en,249,2025-09-15,NA,NA,1,0.33,0,4,3,"Preventive measures, health behaviors, environmental exposures, and sociodemographic characteristics affect individual-level cancer risks. It is unclear how they influence …",https://www.sciencedirect.com/science/article/am/pii/S1877584522000454,https://scholar.google.com/scholar?q=related:4cazQyYrsBQJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Governance, policy & institutional frameworks",Mentioned/Context,Commercial academic publishers,For-profit multinational academic publisher.
0,L Pillsbury,A Comparative Study of Two Non-Traditional Water Supplies in Southern New Mexico to Address Water Scarcity and Disaster Vulnerability,2022,NA,search.proquest.com,https://search.proquest.com/openview/140fa470b767893367c0037256f751a2/1?pq-origsite=gscholar&cbl=18750&diss=y,NA,149,2025-09-15,NA,NA,0,0,0,1,3,"The purpose of this thesis is to discuss the most suitable approach for ensuring water sustainability in southern New Mexico using non-traditional water resources projects. Mainly, the …",NA,https://scholar.google.com/scholar?q=related:a4Bl_d_sg30J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Governance, policy & institutional frameworks",Mentioned/Context,University / institutional repositories,"ProQuest is a global information-content company providing subscription-based access to academic databases, dissertations, and journals."
1,"L Rush, M Cribioli, D Gohlke, Y Zhou, J Kelly, X Wu",Shared Mobility Data Availability and Usage Trends,2022,NA,osti.gov,https://www.osti.gov/biblio/1867694,https://scholar.google.com/scholar?cites=11815112032037641590&as_sdt=2005&sciodt=2007&hl=en,213,2025-09-15,NA,NA,1,0.33,0,6,3,"In this report, we summarize data availability of new shared mobility technologies by mobility type and region and analyze how shared mobility usage varies by time and by …",https://www.osti.gov/servlets/purl/1867694,https://scholar.google.com/scholar?q=related:dh0MQ8u196MJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Water resources & flooding,Mentioned/Context,Government repositories,OSTI.gov is the U.S. DOE Office of Scientific and Technical Information repository.
3,L Vera,Environmental data justice in action: civically valid air monitoring near oil and gas extraction in the eagle ford shale play,2022,NA,search.proquest.com,https://search.proquest.com/openview/76741bb0e378a30722eb96c3162e9bfc/1?pq-origsite=gscholar&cbl=18750&diss=y,https://scholar.google.com/scholar?cites=16564509487944312046&as_sdt=2005&sciodt=2007&hl=en,143,2025-09-15,NA,NA,3,1,3,1,3,"Karnes County, Texas, is in the Eagle Ford Shale Play, which is one of the largest shale plays in the US where oil and gas are extracted then processed, and transported, emitting …",https://www.researchgate.net/profile/Lourdes-Vera-3/publication/360576581_ENVIRONMENTAL_DATA_JUSTICE_IN_ACTION_CIVICALLY_VALID_AIR_MONITORING_NEAR_OIL_AND_GAS_EXTRACTION_IN_THE_EAGLE_FORD_SHALE_PLAY/links/627e9af23a23744a727cf6ae/ENVIRONMENTAL-DATA-JUSTICE-IN-ACTION-CIVICALLY-VALID-AIR-MONITORING-NEAR-OIL-AND-GAS-EXTRACTION-IN-THE-EAGLE-FORD-SHALE-PLAY.pdf,https://scholar.google.com/scholar?q=related:7iSC45314OUJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Land use, housing & built environment infrastructure",Mentioned/Context,University / institutional repositories,"ProQuest is a global information-content company providing subscription-based access to academic databases, dissertations, and journals."
11,"L Yerkinbayeva, D Nurmukhankyzy, ...",Digitalization of environmental information in the Republic of Kazakhstan: Issues of legal regulation,2022,… Management &Tourism,ceeol.com,https://www.ceeol.com/search/article-detail?id=1083717,https://scholar.google.com/scholar?cites=13240285459322255325&as_sdt=2005&sciodt=2007&hl=en,256,2025-09-15,NA,NA,11,3.67,4,3,3,This article considers legal regulation in the sphere of digitalizing environmental information. The study addresses the legislative consolidation of such digitalization to protect the …,NA,https://scholar.google.com/scholar?q=related:3Tesp3nxvrcJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Governance, policy & institutional frameworks",Mentioned/Context,Grey literature platforms,Central and Eastern European Online Library is an aggregator/hosting platform for journals/books; not original publisher of record.
3,"LC Stokes, S Ricketts, O Quinn, ...",A Roadmap to 100% Clean Electricity by 2035,2021,Evergreen …,legacy-assets.eenews.net,https://legacy-assets.eenews.net/open_files/assets/2021/02/04/document_gw_05.pdf,https://scholar.google.com/scholar?cites=1073168204635796148&as_sdt=2005&sciodt=2007&hl=en,335,2025-09-15,PDF,NA,3,0.75,1,4,4,"… And 2021-2022 represents the first time in over a decade when the US Congress will have an … of a federal Equity Map, utilizing as a foundation the existing EPA EJSCREEN program. …",https://legacy-assets.eenews.net/open_files/assets/2021/02/04/document_gw_05.pdf,https://scholar.google.com/scholar?q=related:tHKP1cuo5A4J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Governance, policy & institutional frameworks",Mentioned/Context,Grey literature platforms,E&E News (journalism outlet) archives; not scholarly publishing.
2,"LE Dougald, ES Williams",An analysis of virtual public engagement in the transportation planning process,2022,NA,rosap.ntl.bts.gov,https://rosap.ntl.bts.gov/view/dot/64744,https://scholar.google.com/scholar?cites=17084514021352869760&as_sdt=2005&sciodt=2007&hl=en,313,2025-09-15,NA,NA,2,0.67,1,2,3,"Public engagement is an important and required element of the transportation planning process. Since the onset of the COVID-19 pandemic, public engagement has shifted dramatically…",https://rosap.ntl.bts.gov/view/dot/64744/dot_64744_DS1.pdf,https://scholar.google.com/scholar?q=related:gA_rGvxiGO0J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Equity and justice,Critiqued,Government repositories,ROSAP is the National Transportation Library’s Repository & Open Science Access Portal (U.S. DOT).
1,LG Combe,Environmental Impacts on Student Health: A Call for School Nurse Action,2021,NASN School Nurse,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/1942602X21991526,https://scholar.google.com/scholar?cites=15789730281706918292&as_sdt=2005&sciodt=2007&hl=en,190,2025-09-15,NA,10.1177/1942602X21991526,1,0.25,1,1,4,Do you know how often your school tests for lead (either paint chips/dust or drinking water) or radon? Is this testing a state requirement? Does your school have water stained ceilings …,NA,https://scholar.google.com/scholar?q=related:lJFenAhkINsJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Health & well-being,Applied,Commercial academic publishers,SAGE Publications is an independent international academic publisher.
66,"LP Clark, MH Harris, JS Apte, ...",National and intraurban air pollution exposure disparity estimates in the United States: impact of data-aggregation spatial scale,2022,Environmental science & …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/acs.estlett.2c00403,https://scholar.google.com/scholar?cites=5437750204326824105&as_sdt=2005&sciodt=2007&hl=en,61,2025-09-15,NA,10.1021/acs.estlett.2c00403,66,22,17,4,3,Air pollution exposure disparities by race/ethnicity and socioeconomic status have been analyzed using data aggregated at various spatial scales. Our research question is this: To what …,https://pubs.acs.org/doi/full/10.1021/acs.estlett.2c00403,https://scholar.google.com/scholar?q=related:qUg1GgDFdksJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Climate hazards & risks,Mentioned/Context,Scholarly society / association publishers,ASCE Library – journals of American Society of Civil Engineers.
29,"M Allaire, S Acquah",Disparities in drinking water compliance: Implications for incorporating equity into regulatory practices,2022,AWWA Water Science,Wiley Online Library,https://awwa.onlinelibrary.wiley.com/doi/abs/10.1002/aws2.1274,https://scholar.google.com/scholar?cites=3482662019245042755&as_sdt=2005&sciodt=2007&hl=en,227,2025-09-15,NA,10.1002/aws2.1274,29,9.67,15,2,3,"… Demographics of services areas could be estimated; this would also enable drinking water to be incorporated into EJSCREEN, which is a tool used to consider environmental justice in …",https://awwa.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aws2.1274,https://scholar.google.com/scholar?q=related:Q2zYkafmVDAJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Land use, housing & built environment infrastructure",Mentioned/Context,Commercial academic publishers,Wiley is a for-profit global academic publisher.
1,"M Ashbaugh, M Khemani, B Laird, S Murray","Environmental Justice &Climate Change in Wichita, Kansas",2022,NA,ntrs.nasa.gov,https://ntrs.nasa.gov/api/citations/20220013018/downloads/Environmental%20Justice%20%26%20Climate%20Change%20in%20Wichita%2C%20Kansas.pdf,https://scholar.google.com/scholar?cites=17303799974909720284&as_sdt=2005&sciodt=2007&hl=en,200,2025-09-15,PDF,NA,1,0.33,0,4,3,Heat risk is deeply connected with environmental justice because the effects of climate change are not evenly distributed and impact different parts of the population in unique ways. …,https://ntrs.nasa.gov/api/citations/20220013018/downloads/Environmental%20Justice%20%26%20Climate%20Change%20in%20Wichita%2C%20Kansas.pdf,https://scholar.google.com/scholar?q=related:3Dbo0GVyI_AJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Health & well-being,Applied,Government repositories,NASA’s Technical Reports Server (NTRS) is a U.S. government open access repository for NASA-funded research
0,M Cailas,Environmental Justice Conditions of Communities Adjacent to a Proposed Facility in Southwest Chicago,2022,NA,indigo.uic.edu,https://indigo.uic.edu/articles/report/Environmental_Justice_Conditions_of_Communities_Adjacent_to_a_Proposed_Facility_in_Southwest_Chicago/19137902,NA,20,2025-09-15,NA,NA,0,0,0,1,3,… This report shows the values for environmental and demographic indicators and EJSCREEN … Please see EJSCREEN documentation for discussion of these issues before using reports. …,https://indigo.uic.edu/articles/report/Environmental_Justice_Conditions_of_Communities_Adjacent_to_a_Proposed_Facility_in_Southwest_Chicago/19137902/1/files/34007837.pdf,https://scholar.google.com/scholar?q=related:XNSEDAYXjYcJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Water resources & flooding,Mentioned/Context,University / institutional repositories,"Indigo is the University of Illinois Chicago’s institutional repository, hosting scholarly works by UIC faculty, students and staff."
0,"M Coffman, S Shen, M Schjervheim",Social Vulnerability to Climate Change in Hawai 'i,2022,NA,climate.hawaii.gov,https://climate.hawaii.gov/wp-content/uploads/2023/01/SCOVI-Report-Final_5_4_22_Clean-1.pdf,NA,97,2025-09-15,PDF,NA,0,0,0,3,3,"… EJSCREEN provides information about environmental health risk factors such as proximity to toxic … Like most of these tools, EJSCREEN sources social data from the US census bureau. …",https://climate.hawaii.gov/wp-content/uploads/2023/01/SCOVI-Report-Final_5_4_22_Clean-1.pdf,https://scholar.google.com/scholar?q=related:0UYXBBiXWkkJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Air quality & pollution,Applied,Government repositories,State of Hawai‘i climate portal with official plans/reports.
0,"M Day, L Ross, C Ivanova, A McLeod, J Lockshin",Intersections of Disadvantaged Communities and Renewable Energy Potential: Analyses to Inform Equitable Investment Prioritization,2022,NA,osti.gov,https://www.osti.gov/biblio/1843348,NA,94,2025-09-15,NA,NA,0,0,0,5,3,"… the State and Local Planning for Energy (SLOPE) platform, the Low-Income Energy Affordability (LEAD) tool, and the Environmental Justice Screening and Mapping (EJSCREEN) tool, …",https://www.osti.gov/servlets/purl/1843348,https://scholar.google.com/scholar?q=related:Lq976ys9bNgJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Governance, policy & institutional frameworks",Mentioned/Context,Government repositories,OSTI.gov is the U.S. DOE Office of Scientific and Technical Information repository.
0,M Dohrmann,A Breath of Fresh Air: How to Balance Environmental Justice Concerns with Local Air Pollution and Cap-and-Trade,2022,NA,scholarship.shu.edu,https://scholarship.shu.edu/cgi/viewcontent.cgi?article=2353&context=student_scholarship,NA,144,2025-09-15,PDF,NA,0,0,0,1,3,"… and mapping tool, EJSCREEN, to consider … Use EJSCREEN?, UNITED STATES ENVIRONMENTAL PROTECTION AGENCY, https://www.epa.gov/ejscreen/how-does-epa-use-ejscreen…",https://scholarship.shu.edu/cgi/viewcontent.cgi?article=2353&context=student_scholarship,https://scholar.google.com/scholar?q=related:yRSuEcwiLpYJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Energy & decarbonization,Mentioned/Context,University / institutional repositories,Seton Hall University eRepository (IR).
3,"M Finley-Brook, C Oba, L Fjord, RW Walker, ...",Racism and toxic burden in rural dixie,2021,Wm. &Mary Env't L. & …,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/wmelpr46&section=24,https://scholar.google.com/scholar?cites=4242218495066991327&as_sdt=2005&sciodt=2007&hl=en,321,2025-09-15,NA,NA,3,0.75,1,5,4,"… 3, 2022). The site is large enough that EJSCREEN demographics of a one-mile radius are … 3, 2022). This area has higher poverty than state averages and the percentage over the age …",https://scholarship.law.wm.edu/cgi/viewcontent.cgi?article=1818&context=wmelpr,https://scholar.google.com/scholar?q=related:32oPuj5j3zoJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,"Transit, mobility & transportation",Mentioned/Context,Legal / policy databases,HeinOnline is a subscription-based online legal research database specializing in law journals and government documents
0,M Greenberg,Designing a Multiple-Scale and Multiple-Metric Data Analysis,2022,Environmental &Social Justice Challenges Near …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-08183-5_2,NA,40,2025-09-15,NA,10.1007/978-3-031-08183-5_2,0,0,0,1,3,"… Hence, most of the figures in this book are from the 2022 version of EJScreen. Figure 2.3 is an illustration of the value of this mapping tool. The 1-mile radius circle is centered on the …",NA,https://scholar.google.com/scholar?q=related:ViVdpemCdP0J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Health & well-being,Mentioned/Context,Commercial academic publishers,Springer Nature is a global for-profit academic publisher. Part of Springer Nature; commercial scholarly publisher.
0,M Greenberg,Epilogue: Summary and Looking Forward,2022,Environmental &Social Justice Challenges Near …,Springer,https://link.springer.com/chapter/10.1007/978-3-031-08183-5_10,NA,85,2025-09-15,NA,10.1007/978-3-031-08183-5_10,0,0,0,1,3,"… , can use EJScreen. In February 2022, EPA released a second version of EJScreen with more data … Nearly all the maps in this book are from EJScreen. As noted in Chap. 2, CDC, the …",NA,https://scholar.google.com/scholar?q=related:hmon4bTu8z4J:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,NA,NA,Air quality & pollution,Applied,Commercial academic publishers,Springer Nature is a global for-profit academic publisher. Part of Springer Nature; commercial scholarly publisher.
